vehicle_speed_mean,vehicle_speed_std,vehicle_speed_max,vehicle_speed_min,vehicle_speed_range,vehicle_speed_skew,acceleration_speed_longitudinal_mean,acceleration_speed_longitudinal_std,acceleration_speed_longitudinal_max,acceleration_speed_longitudinal_min,acceleration_speed_longitudinal_range,acceleration_speed_longitudinal_skew,acceleration_speed_lateral_mean,acceleration_speed_lateral_std,acceleration_speed_lateral_max,acceleration_speed_lateral_min,acceleration_speed_lateral_range,acceleration_speed_lateral_skew,engine_speed_mean,engine_speed_std,engine_speed_max,engine_speed_min,engine_speed_range,engine_speed_skew,throttle_position_signal_mean,throttle_position_signal_std,throttle_position_signal_max,throttle_position_signal_min,throttle_position_signal_range,throttle_position_signal_skew,accelerator_pedal_value_mean,accelerator_pedal_value_std,accelerator_pedal_value_max,accelerator_pedal_value_min,accelerator_pedal_value_range,accelerator_pedal_value_skew,master_cylinder_pressure_mean,master_cylinder_pressure_std,master_cylinder_pressure_max,master_cylinder_pressure_min,master_cylinder_pressure_range,master_cylinder_pressure_skew,steering_wheel_speed_mean,steering_wheel_speed_std,steering_wheel_speed_max,steering_wheel_speed_min,steering_wheel_speed_range,steering_wheel_speed_skew,steering_wheel_angle_mean,steering_wheel_angle_std,steering_wheel_angle_max,steering_wheel_angle_min,steering_wheel_angle_range,steering_wheel_angle_skew,fuel_consumption_mean,fuel_consumption_std,fuel_consumption_max,fuel_consumption_min,fuel_consumption_range,fuel_consumption_skew,indication_of_brake_switch_on_off_mean,indication_of_brake_switch_on_off_std,indication_of_brake_switch_on_off_max,indication_of_brake_switch_on_off_min,indication_of_brake_switch_on_off_range,indication_of_brake_switch_on_off_skew,driver_id,window_id,window_start,speed_risk,accel_risk,lateral_risk,brake_risk,steering_risk,throttle_risk,risk_score,iso_anomaly,iso_score,iso_label,svm_anomaly,svm_score,svm_label,ensemble_risky,consensus_risky
0.0,0.0,0,0,0,,-0.9125000000000001,2.8830250316869144,1.3,-8.5,9.8,-2.2137484838235912,-1.875,3.403821381917682,1.1,-8.8,9.9,-1.2416983130193133,991.125,313.08909807486646,1597,647,950,0.5804552828891334,6.106250000000001,1.1823528802068075,9.9,4.7,5.2,2.10539041388127,0.0,0.0,0.0,0.0,0.0,,57.06875,108.02724174176313,330.1,0.8,329.3,2.0845885465444156,47.25,131.61737473955836,448,0,448,2.4343619119595905,-0.03749999999999998,2.574975728040946,3.0,-3.6,6.6,-0.2317561052161924,388.8,230.58363052625108,921.6,204.8,716.8,1.2886302811988954,1.3125,0.47871355387816905,2,1,1,0.8090398349558905,A,0,0,-1.0092338813792894,8.126790179642006,14.098325317322878,16.77777777777778,15.110650464893457,-0.7255813953488371,0.9866966504244467,-1,-0.14484796031075753,Risky,-1,-54.252723811352425,Risky,1,1
0.0,0.0,0,0,0,,0.05,0.07608859102526822,0.3,0.0,0.3,1.8387268976270235,-0.12500000000000003,0.08506963092234007,0.0,-0.2,0.2,0.49338220021815943,788.6,195.83758039440957,1178,631,547,1.1319915845205493,6.249999999999999,0.8300285347029055,8.0,4.7,3.3,0.043626211808239654,0.0,0.0,0.0,0.0,0.0,,19.965,26.41957557729137,66.4,0.8,65.60000000000001,0.7989057819827157,1.8,6.420362344259002,28,0,28,3.696733580547853,5.19,20.090319742811985,89.7,-3.6,93.3,3.9957957029365794,281.6,63.93259608451125,422.4,192.0,230.39999999999998,0.5122299427642358,1.4,0.5026246899500346,2,1,1,0.4082482904638635,A,1,5,-1.0092338813792894,-1.1729374724118518,-0.6317593900721151,2.825396825396826,0.3671881615088658,-0.7255813953488371,0.08305452324077475,1,0.00474463906456879,Normal,-1,-13.751323918678871,Risky,1,0
1.45,2.87411313552363,9,0,9,1.77245373345371,0.11499999999999999,0.23902213066443956,0.7,-0.2,0.8999999999999999,1.3606173249510962,-0.0050000000000000044,0.2981963323576917,0.8,-0.2,1.0,1.6624609038099343,898.3,272.59708072731195,1489,648,841,0.6380718451305376,8.385,2.370048855814447,14.1,6.6,7.5,1.5077626105606323,1.48,3.253273654902736,11.7,0.0,11.7,2.0425298976111503,5.409999999999999,12.766110564591253,53.4,0.9,52.5,3.1229207474384064,27.2,50.77255785932935,180,0,180,1.8777506560569481,85.615,139.5381603154152,372.3,-7.3,379.6,1.1686211483437234,495.36,201.74991919387935,934.4,294.4,640.0,1.3368712937548384,1.35,0.48936048492959294,2,1,1,0.6289709020331503,A,2,10,-0.808753574829331,-0.6331185003540999,0.3141909554482654,2.1375661375661377,5.590195565105138,-0.1813953488372093,0.19900741746685116,-1,-0.018506459285439147,Risky,1,10.50747470960492,Normal,1,0
4.35,4.901933023657203,13,0,13,0.8145400965214606,0.06499999999999999,0.34984959174208746,0.7,-0.8,1.5,-0.30513570737156476,-0.024999999999999994,0.45868806049657024,0.9,-1.2,2.1,0.0006294841678598197,1016.85,308.27299504446415,1850,716,1134,1.3369626914754391,9.085,2.3740427433743525,15.5,7.1,8.4,1.7199993286303068,1.385,3.3443235489408023,13.3,0.0,13.3,2.631292734795353,1.42,0.8382940069601256,4.1,0.9,3.1999999999999997,1.9843932254521133,42.0,51.72396370206591,156,0,156,1.0187918618622513,90.52,190.75892363758092,488.0,-245.4,733.4,0.8758565582338416,577.9200000000001,230.89630755407342,1292.8,422.4,870.4,1.964446968285814,1.35,0.48936048492959294,2,1,1,0.6289709020331503,A,3,15,-0.6673054363491963,-0.26593341220590583,1.0265240637058728,-0.47089947089947093,5.702235109094552,-0.10697674418604647,0.1784232949118751,-1,-0.013846895668838566,Risky,1,13.005074138345151,Normal,1,0
4.95,3.8862104393544326,11,0,11,-0.049640637600451745,-0.065,0.2852053738328889,0.6,-0.8,1.4,-0.47514805612494393,-0.45499999999999996,0.5762629151424036,0.3,-1.8,2.1,-1.0306834205126103,993.3,187.28169045303753,1350,765,585,0.13206446566296556,8.9,1.4857215153091887,13.6,7.5,6.1,1.9996573044590957,1.345,2.9967482376736285,10.5,0.0,10.5,2.1204274498077926,2.5949999999999998,2.988130026058368,12.7,0.9,11.799999999999999,2.280866781877271,56.8,65.3618269409036,172,0,172,0.5037900628693933,-65.225,186.81975516805664,335.9,-387.2,723.0999999999999,-0.09769098116926772,548.4799999999999,127.6137329683027,896.0,422.4,473.6,1.8057621755263564,1.35,0.48936048492959294,2,1,1,0.6289709020331503,A,4,20,-0.738155944129794,-0.4801077027694147,1.5483731498489868,-0.01587301587301591,7.308258437555921,-0.23720930232558138,0.21557356198881664,-1,-0.02356572333972229,Risky,1,7.930377256970111,Normal,1,0
5.4,6.524447950028536,18,0,18,0.7668453850752643,0.015000000000000003,0.34070360633316027,0.9,-0.8,1.7000000000000002,0.1388389426666402,-0.41999999999999993,0.4969379925313144,0.2,-1.9,2.1,-1.4434249386268014,1064.45,338.7519625113088,1783,658,1125,0.6506030739857316,9.91,4.048638497595275,24.0,6.1,17.9,2.3452121579772864,2.5,5.2651785594752525,18.4,0.0,18.4,2.32503238387659,11.195,13.98437003454778,58.3,1.0,57.3,1.9977109207647865,31.8,43.69222500990066,160,0,160,1.4914851604152501,-90.16499999999999,142.8665600260754,84.6,-344.0,428.6,-0.8081601382447341,652.1600000000001,337.7503880554084,1728.0,307.2,1420.8,1.833391191267986,1.55,0.5104177855340405,2,1,1,-0.20100756305184275,A,5,25,-0.5541288582248473,-0.296235193243966,1.1962941402881009,2.3968253968253967,4.756400744735392,0.13023255813953483,0.21975714020694864,-1,-0.019930832318706015,Risky,1,14.450904118807955,Normal,1,0
5.4,4.04448942844979,13,0,13,0.3670914850946986,-0.040000000000000015,0.6483988376235563,1.4,-1.8,3.2,-0.3367810974085305,-0.325,0.3369757136337089,0.0,-1.1,1.1,-1.1668866004136873,1089.2,393.4187002218,1988,726,1262,1.045577841645482,11.605,6.721487538993293,36.2,8.0,28.200000000000003,2.929667887083869,3.4750000000000005,5.697448644141656,20.3,0.0,20.3,1.60419493410604,2.8099999999999996,3.7589052157579914,16.5,0.8,15.7,2.6880641139356882,42.2,47.033694529056845,160,0,160,1.1170018396526613,-130.50000000000003,135.71746968959954,-8.9,-385.9,377.0,-0.7963176314802114,690.5600000000002,313.9874727638534,1779.2,435.2,1344.0,2.3024073403951455,1.35,0.489360484929593,2,1,1,0.6289709020331501,A,6,30,-0.7271153835262277,0.723197170590357,0.4863109613886862,0.1851851851851852,5.149899191312042,0.21860465116279074,0.19245014286100268,1,0.0005724891226799311,Normal,1,10.766198297879939,Normal,0,0
7.45,5.5295854988844955,16,0,16,0.006673431995937507,-0.095,0.4661996409942396,0.8,-1.2,2.0,-0.7807106646941171,-0.25000000000000006,0.26056618514708557,0.2,-0.8,1.0,-0.2380811628478146,1054.3,253.10661369220844,1722,854,868,1.5607146647210504,8.48,1.253458373755125,10.8,7.1,3.700000000000001,0.3729362758471196,0.8,2.013637713717456,7.0,0.0,7.0,2.5697961676920773,4.43,5.008109213539261,17.4,1.0,16.4,1.3468871129211628,27.8,31.294189808804344,100,0,100,1.1467551128700473,-98.36,149.66946529638324,20.7,-427.5,448.2,-1.2031430712359223,552.3199999999999,148.94127984580118,921.6,384.0,537.6,0.640083304324288,1.5,0.512989176042577,2,1,1,0.0,A,7,35,-0.6235242924947173,0.11954869372058771,0.1471717574025753,0.23280423280423274,3.296382161813826,-0.39999999999999997,0.1365150184168107,1,0.027816998612938848,Normal,1,21.303588728177303,Normal,0,0
6.65,4.727021984516813,17,0,17,0.010038125836035397,0.145,0.47625181309228026,1.0,-1.0,2.0,0.11167298343425051,-0.44000000000000006,0.40962113432318226,0.1,-1.2,1.3,-0.4542402042422968,1165.6,404.43520071693484,2080,833,1247,1.178250305347925,11.435,5.810813422540681,31.9,7.1,24.799999999999997,2.4772105330955574,5.14,7.213466937829402,24.6,0.0,24.6,1.368725283060034,5.83,8.092758296285963,20.6,0.9,19.700000000000003,1.1964542487964427,30.8,35.80296959162672,120,0,120,1.0063771945183506,-114.73499999999999,126.85610279284745,-5.2,-378.8,373.6,-0.7912936532564675,740.4799999999999,404.6921761952956,1856.0,358.4,1497.6,1.672177756394611,1.25,0.4442616583193193,2,1,1,1.1547005383792515,A,8,40,-0.6795061456088367,0.1528527833569449,0.8087433940162116,0.4021164021164022,3.827345509025457,0.4186046511627908,0.1734961711683352,1,0.01773171038517335,Normal,1,21.452785925239823,Normal,0,0
12.65,10.732513317264655,36,0,36,0.9481931207942499,0.18,0.6779225231310884,1.3,-1.2,2.5,-0.030490154401500505,-0.22000000000000003,0.27453309646130386,0.4,-0.9,1.3,-0.13027918935117466,1374.35,605.491038223045,2494,796,1698,0.5062708818518018,30.299999999999994,37.059425961981376,100.0,7.1,92.9,1.1672590399619895,8.785,12.099642230465461,28.5,0.0,28.5,0.839456648017119,2.17,2.513772589471639,10.3,0.9,9.4,2.264900629452931,21.0,21.280087059576562,72,0,72,0.8619179168260442,-25.440000000000005,33.45319432470262,42.2,-79.8,122.0,0.4674577628485834,1130.8800000000003,913.624200988338,3072.0,371.2,2700.8,1.0173834846883427,1.35,0.48936048492959294,2,1,1,0.6289709020331503,A,9,45,-0.26060031741044415,0.8210127928209118,0.20916307287153327,-0.14285714285714282,2.1171004556394766,0.6,0.14630861727720085,1,0.04022686370469952,Normal,1,28.92417147390671,Normal,0,0
