driver_id,risk_mean,risk_std,risk_max,iso_risky_ratio,svm_risky_ratio,consensus_risky_ratio,n_windows,risk_level
A,0.147,0.087,0.987,0.337,0.328,0.286,406,Medium Risk
C,0.141,0.065,0.466,0.2,0.213,0.158,404,Medium Risk
I,0.122,0.075,0.841,0.136,0.134,0.095,433,Low Risk
D,0.121,0.05,0.642,0.087,0.108,0.066,527,Low Risk
B,0.117,0.064,0.726,0.168,0.129,0.1,511,Low Risk
J,0.113,0.069,1.0,0.147,0.144,0.114,590,Low Risk
H,0.11,0.067,0.839,0.125,0.125,0.096,575,Low Risk
E,0.11,0.08,0.773,0.128,0.135,0.103,556,Low Risk
F,0.108,0.069,0.925,0.099,0.107,0.082,587,Low Risk
G,0.101,0.076,0.987,0.13,0.14,0.096,408,Low Risk
