fuel_consumption,accelerator_pedal_value,throttle_position_signal,intake_air_pressure,absolute_throttle_position,engine_in_fuel_cut_off,engine_speed,engine_torque_after_correction,torque_of_friction,flywheel_torque_after_torque_interventions,engine_torque,calculated_load_value,flywheel_torque,current_gear,wheel_velocity_front_left_hand,wheel_velocity_rear_right_hand,wheel_velocity_front_right_hand,wheel_velocity_rear_left_hand,clutch_operation_acknowledge,gear_selection,vehicle_speed,acceleration_speed_longitudinal,indication_of_brake_switch_on_off,master_cylinder_pressure,calculated_road_gradient,acceleration_speed_lateral,steering_wheel_speed,steering_wheel_angle,time_s,driver_id,pathorder
268.8,0.0,5.2,33,13.3,0,929,5.5,9.0,-5.9,5.5,23.9,-5.9,0,0.0,0.0,0.0,0.0,1,0,0,-8.5,1,325.5,0.0,-8.8,0,-3.4,1,A,1
243.2,0.0,6.1,40,13.7,0,726,7.0,7.8,1.7,7.0,30.6,1.8,0,0.0,0.0,0.0,0.0,1,0,0,0.1,1,0.9,0.0,-0.2,0,-3.6,2,A,1
217.6,0.0,5.2,41,13.7,0,685,7.0,7.4,-3.0,7.0,31.8,-2.8,0,0.0,0.0,0.0,0.0,1,0,0,0.1,1,0.9,0.0,-0.2,0,-3.6,3,A,1
204.8,0.0,4.7,38,13.3,0,675,7.0,6.6,-1.3,7.0,29.0,-1.2,0,0.0,0.0,0.0,0.0,1,0,0,0.1,1,0.9,0.0,-0.2,0,-3.6,4,A,1
217.6,0.0,5.7,40,13.7,0,716,8.2,11.3,-15.6,8.2,30.2,-15.9,0,0.0,0.0,0.0,0.0,1,0,0,0.1,1,0.9,0.0,-0.2,0,-3.5,5,A,1
243.2,0.0,5.7,41,13.7,0,740,9.0,16.0,-16.9,9.0,31.4,-17.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,2,36.7,0.0,-0.2,0,-3.4,6,A,1
217.6,0.0,5.7,42,13.7,0,682,11.7,16.4,-10.8,11.7,31.8,-10.5,14,0.0,0.0,0.0,0.0,1,7,0,0.0,2,61.8,0.0,-0.2,0,-3.6,7,A,1
294.4,0.0,6.6,52,14.5,0,670,16.8,18.0,1.3,16.8,41.2,1.9,14,0.0,0.0,0.0,0.0,1,7,0,0.0,2,38.9,0.0,-0.2,0,-1.6,8,A,1
332.8,0.0,7.1,60,14.5,0,655,21.5,18.8,8.5,21.5,49.0,9.1,14,0.0,0.0,0.0,0.0,1,7,0,0.0,2,12.5,0.0,-0.2,8,7.9,9,A,1
358.4,0.0,7.1,65,14.9,0,648,23.8,19.5,12.2,23.8,54.1,12.1,14,0.0,0.0,0.0,0.0,1,7,0,-0.1,2,1.8,0.0,-0.2,0,7.7,10,A,1
409.6,0.0,7.5,69,15.3,0,659,24.2,19.9,7.2,24.2,58.0,7.9,14,0.8,0.0,0.0,0.8,1,7,0,-0.2,2,1.4,0.0,-0.2,0,5.9,11,A,1
435.2,0.0,7.1,69,14.9,0,663,23.8,19.9,9.4,24.2,58.0,9.5,14,1.5,0.1,0.1,1.5,1,7,0,-0.1,2,2.4,0.0,-0.2,0,4.8,12,A,1
384.0,0.0,7.1,66,14.9,0,659,24.2,19.1,10.5,24.2,55.7,10.3,14,1.8,0.3,0.4,1.8,1,7,0,0.0,2,3.2,0.0,-0.2,8,-7.3,13,A,1
396.8,0.0,7.5,66,14.9,0,668,25.4,19.1,16.0,25.4,55.3,16.4,14,2.1,2.0,2.0,2.1,1,7,1,-0.1,2,1.8,0.0,-0.2,0,-7.3,14,A,1
473.6,0.0,8.5,71,16.1,0,742,26.2,19.5,14.3,26.6,59.2,14.4,14,2.8,2.0,2.0,2.8,1,7,2,-0.1,2,1.8,0.0,-0.2,0,-7.3,15,A,1
473.6,0.0,8.5,70,15.7,0,759,26.6,20.3,13.1,26.6,58.8,12.9,14,3.1,2.1,2.1,3.1,1,7,3,0.0,2,2.9,0.0,-0.2,0,-4.8,16,A,1
473.6,0.0,8.5,70,15.7,0,761,26.6,20.7,11.8,26.6,58.8,11.8,14,3.5,2.1,2.1,3.5,1,7,3,-0.2,2,1.7,0.0,-0.3,8,0.8,17,A,1
473.6,0.0,8.5,70,15.7,0,766,26.6,21.5,11.7,27.0,58.8,12.0,14,3.9,2.7,2.9,3.8,1,7,3,-0.1,2,1.5,0.0,-0.2,0,0.6,18,A,1
473.6,0.0,8.5,70,16.1,0,769,26.6,21.5,12.6,26.6,58.8,13.2,14,4.1,4.0,4.0,4.1,1,7,4,-0.1,2,2.0,0.0,-0.2,0,0.5,19,A,1
473.6,0.0,8.5,69,15.7,0,768,26.6,21.5,12.1,26.6,58.4,12.3,14,4.3,4.0,4.0,4.3,1,7,4,0.0,2,2.5,0.0,-0.2,0,0.7,20,A,1
486.4,0.0,8.5,70,15.7,0,767,26.6,21.5,11.9,26.6,58.4,11.9,14,4.1,4.0,3.9,4.1,1,7,4,0.0,2,4.3,0.0,-0.3,0,0.4,21,A,1
473.6,0.0,8.5,70,16.1,0,770,27.0,21.5,12.1,27.0,58.8,12.1,14,3.8,2.4,2.4,3.8,1,7,3,0.0,2,3.1,0.0,-0.2,0,0.5,22,A,1
486.4,0.0,8.5,71,16.1,0,768,27.0,21.5,13.6,27.0,59.6,13.6,14,3.8,2.5,2.4,3.8,1,7,3,0.1,2,5.7,0.0,-0.2,0,0.5,23,A,1
473.6,0.0,8.5,71,15.7,0,765,26.6,21.5,10.0,26.6,59.6,10.5,14,2.4,1.6,1.5,2.4,1,7,1,0.6,2,12.7,0.0,-0.2,0,0.2,24,A,1
448.0,0.0,7.5,69,15.3,0,724,24.6,20.7,8.1,24.6,58.0,8.7,0,0.5,0.0,0.0,0.4,1,6,0,0.3,2,15.4,0.0,-0.2,0,0.5,25,A,1
384.0,0.0,6.1,64,14.1,0,673,21.9,19.9,0.0,21.9,54.1,0.0,0,0.0,0.0,0.0,0.0,1,6,0,0.0,2,17.2,-3.5,-0.2,0,0.3,26,A,1
307.2,0.0,6.1,57,14.1,0,658,20.3,19.5,2.2,20.7,46.3,2.3,0,0.0,0.0,0.0,0.0,1,6,0,0.0,2,21.9,0.0,-0.2,0,0.2,27,A,1
307.2,0.0,6.6,57,14.5,0,658,20.7,19.1,2.0,20.7,46.7,2.6,1,0.0,0.0,0.0,0.0,1,5,0,0.0,2,26.3,0.0,-0.2,0,0.5,28,A,1
396.8,0.0,7.5,68,15.3,0,673,23.8,19.1,12.7,23.8,56.9,12.9,1,0.0,0.0,0.0,0.1,1,5,0,0.4,1,3.2,0.0,-0.2,44,84.6,29,A,1
435.2,0.0,8.0,70,15.3,0,726,25.8,19.5,13.2,25.8,58.4,13.7,1,1.8,0.9,1.0,1.8,1,5,0,0.3,2,1.0,0.0,-0.3,160,-88.0,30,A,1
460.8,0.0,8.0,70,15.3,0,747,25.4,19.9,12.8,25.8,58.8,13.3,1,2.8,2.0,2.0,2.8,1,5,2,0.1,2,3.9,0.0,-0.3,8,-86.2,31,A,1
460.8,0.0,8.0,69,15.7,0,758,25.8,20.7,11.3,26.2,58.0,11.7,1,2.9,2.0,2.0,2.9,1,5,2,0.0,1,3.0,0.0,-0.4,48,-274.0,32,A,1
448.0,0.0,8.0,69,15.7,0,763,25.8,20.7,11.8,26.2,57.6,11.8,1,3.9,2.1,2.1,3.8,1,5,3,0.1,1,1.0,0.0,-0.5,92,-347.8,33,A,1
486.4,0.0,9.4,70,16.1,0,796,28.5,20.7,40.4,27.7,59.2,41.4,1,4.6,2.1,2.1,4.3,1,5,3,0.0,1,1.0,0.0,-0.5,16,-385.9,34,A,1
588.8,0.4,8.5,69,16.1,0,978,29.3,20.7,7.6,28.9,58.8,7.3,1,5.9,3.2,4.0,5.4,1,5,4,0.2,1,1.0,0.0,-0.8,52,-427.5,35,A,1
486.4,1.2,8.9,65,16.1,0,891,28.1,20.7,35.2,27.7,54.5,35.1,1,5.9,3.3,4.0,5.4,1,5,4,-0.1,1,1.0,0.0,-0.6,20,-400.8,36,A,1
550.4,0.4,7.5,59,15.7,0,1029,27.0,19.9,8.0,26.6,49.8,8.5,1,6.6,4.0,4.1,6.3,1,5,5,0.3,1,1.0,0.0,-0.6,100,-294.3,37,A,1
422.4,0.0,8.0,58,15.3,0,854,24.2,19.1,23.2,23.8,47.5,20.0,1,6.1,4.0,4.1,5.8,1,5,4,-0.1,1,1.0,0.0,-0.5,28,-313.4,38,A,1
524.8,0.8,8.5,63,16.1,0,975,28.5,19.1,19.6,28.1,52.9,16.2,1,6.1,4.0,4.1,5.9,1,5,5,0.2,1,1.0,0.0,-0.4,48,-262.3,39,A,1
512.0,0.8,8.9,62,16.1,0,999,29.7,19.1,22.9,29.3,51.8,22.9,1,6.4,4.1,4.1,6.1,1,5,5,0.2,1,1.1,0.0,-0.6,64,-333.8,40,A,1
524.8,2.7,8.9,60,16.1,0,1064,28.9,19.1,28.0,28.9,49.0,27.9,1,7.1,4.1,4.1,6.6,1,5,5,0.0,1,1.1,0.0,-0.6,44,-378.8,41,A,1
742.4,8.6,11.3,67,18.0,0,1277,34.4,19.1,32.7,34.4,56.1,32.8,1,8.3,4.9,5.9,7.6,1,5,6,0.4,1,1.1,0.0,-0.9,40,-323.6,42,A,1
832.0,9.4,11.3,64,18.0,0,1453,32.4,19.1,27.0,32.4,51.4,27.0,1,9.9,7.0,7.6,9.5,1,5,8,0.4,1,1.1,-1.0,-0.7,120,-198.0,43,A,1
844.8,9.8,11.3,59,18.0,0,1643,30.9,19.1,21.0,30.9,45.1,21.0,1,11.1,9.0,9.3,10.9,1,5,9,0.4,1,1.1,0.0,-0.5,88,-113.6,44,A,1
