driver_id,window_id,global_window_id,cluster
A,0,A_w0,0
A,1,A_w1,1
A,2,A_w2,0
A,3,A_w3,0
A,4,A_w4,0
A,5,A_w5,0
A,6,A_w6,0
A,7,A_w7,0
A,8,A_w8,0
A,9,A_w9,2
A,10,A_w10,0
A,11,A_w11,2
A,12,A_w12,2
A,13,A_w13,2
A,14,A_w14,2
A,15,A_w15,2
A,16,A_w16,2
A,17,A_w17,2
A,18,A_w18,2
A,19,A_w19,2
A,20,A_w20,2
A,21,A_w21,1
A,22,A_w22,0
A,23,A_w23,1
A,24,A_w24,2
A,25,A_w25,0
A,26,A_w26,2
A,27,A_w27,0
A,28,A_w28,1
A,29,A_w29,1
A,30,A_w30,2
A,31,A_w31,2
A,32,A_w32,2
A,33,A_w33,2
A,34,A_w34,2
A,35,A_w35,2
A,36,A_w36,1
A,37,A_w37,1
A,38,A_w38,1
A,39,A_w39,2
A,40,A_w40,2
A,41,A_w41,2
A,42,A_w42,2
A,43,A_w43,2
A,44,A_w44,1
A,45,A_w45,1
A,46,A_w46,1
A,47,A_w47,1
A,48,A_w48,1
A,49,A_w49,1
A,50,A_w50,1
A,51,A_w51,1
A,52,A_w52,2
A,53,A_w53,1
A,54,A_w54,2
A,55,A_w55,2
A,56,A_w56,2
A,57,A_w57,2
A,58,A_w58,2
A,59,A_w59,2
A,60,A_w60,1
A,61,A_w61,2
A,62,A_w62,1
A,63,A_w63,1
A,64,A_w64,2
A,65,A_w65,2
A,66,A_w66,1
A,67,A_w67,2
A,68,A_w68,2
A,69,A_w69,1
A,70,A_w70,2
A,71,A_w71,2
A,72,A_w72,1
A,73,A_w73,2
A,74,A_w74,2
A,75,A_w75,1
A,76,A_w76,1
A,77,A_w77,1
A,78,A_w78,2
A,79,A_w79,2
A,80,A_w80,2
A,81,A_w81,2
A,82,A_w82,2
A,83,A_w83,2
A,84,A_w84,1
A,85,A_w85,0
A,86,A_w86,0
A,87,A_w87,1
A,88,A_w88,1
A,89,A_w89,1
A,90,A_w90,1
A,91,A_w91,1
A,92,A_w92,1
A,93,A_w93,1
A,94,A_w94,1
A,95,A_w95,1
A,96,A_w96,0
A,97,A_w97,1
A,98,A_w98,1
A,99,A_w99,1
A,100,A_w100,1
A,101,A_w101,1
A,102,A_w102,1
A,103,A_w103,1
A,104,A_w104,1
A,105,A_w105,1
A,106,A_w106,2
A,107,A_w107,2
A,108,A_w108,1
A,109,A_w109,1
A,110,A_w110,1
A,111,A_w111,1
A,112,A_w112,2
A,113,A_w113,1
A,114,A_w114,1
A,115,A_w115,1
A,116,A_w116,1
A,117,A_w117,1
A,118,A_w118,2
A,119,A_w119,2
A,120,A_w120,2
A,121,A_w121,1
A,122,A_w122,1
A,123,A_w123,2
A,124,A_w124,2
A,125,A_w125,2
A,126,A_w126,2
A,127,A_w127,2
A,128,A_w128,2
A,129,A_w129,2
A,130,A_w130,2
A,131,A_w131,2
A,132,A_w132,2
A,133,A_w133,2
A,134,A_w134,2
A,135,A_w135,2
A,136,A_w136,2
A,137,A_w137,2
A,138,A_w138,2
A,139,A_w139,2
A,140,A_w140,2
A,141,A_w141,2
A,142,A_w142,2
A,143,A_w143,2
A,144,A_w144,2
A,145,A_w145,2
A,146,A_w146,2
A,147,A_w147,1
A,148,A_w148,1
A,149,A_w149,2
A,150,A_w150,2
A,151,A_w151,2
A,152,A_w152,2
A,153,A_w153,2
A,154,A_w154,2
A,155,A_w155,2
A,156,A_w156,2
A,157,A_w157,2
A,158,A_w158,2
A,159,A_w159,2
A,160,A_w160,2
A,161,A_w161,2
A,162,A_w162,2
A,163,A_w163,2
A,164,A_w164,2
A,165,A_w165,2
A,166,A_w166,2
A,167,A_w167,2
A,168,A_w168,2
A,169,A_w169,2
A,170,A_w170,2
A,171,A_w171,2
A,172,A_w172,2
A,173,A_w173,2
A,174,A_w174,1
A,175,A_w175,1
A,176,A_w176,2
A,177,A_w177,2
A,178,A_w178,2
A,179,A_w179,1
A,180,A_w180,2
A,181,A_w181,2
A,182,A_w182,1
A,183,A_w183,1
A,184,A_w184,1
A,185,A_w185,1
A,186,A_w186,1
A,187,A_w187,2
A,188,A_w188,2
A,189,A_w189,2
A,190,A_w190,2
A,191,A_w191,2
A,192,A_w192,2
A,193,A_w193,2
A,194,A_w194,2
A,195,A_w195,2
A,196,A_w196,2
A,197,A_w197,2
A,198,A_w198,2
A,199,A_w199,2
A,200,A_w200,2
A,201,A_w201,2
A,202,A_w202,2
A,203,A_w203,2
A,204,A_w204,2
A,205,A_w205,2
A,206,A_w206,2
A,207,A_w207,2
A,208,A_w208,1
A,209,A_w209,2
A,210,A_w210,2
A,211,A_w211,2
A,212,A_w212,2
A,213,A_w213,1
A,214,A_w214,2
A,215,A_w215,2
A,216,A_w216,1
A,217,A_w217,1
A,218,A_w218,2
A,219,A_w219,1
A,220,A_w220,1
A,221,A_w221,1
A,222,A_w222,2
A,223,A_w223,2
A,224,A_w224,2
A,225,A_w225,2
A,226,A_w226,1
A,227,A_w227,2
A,228,A_w228,2
A,229,A_w229,2
A,230,A_w230,2
A,231,A_w231,1
A,232,A_w232,1
A,233,A_w233,1
A,234,A_w234,1
A,235,A_w235,1
A,236,A_w236,1
A,237,A_w237,1
A,238,A_w238,1
A,239,A_w239,1
A,240,A_w240,1
A,241,A_w241,2
A,242,A_w242,2
A,243,A_w243,2
A,244,A_w244,2
A,245,A_w245,2
A,246,A_w246,2
A,247,A_w247,2
A,248,A_w248,2
A,249,A_w249,2
A,250,A_w250,2
A,251,A_w251,1
A,252,A_w252,1
A,253,A_w253,2
A,254,A_w254,1
A,255,A_w255,2
A,256,A_w256,1
A,257,A_w257,1
A,258,A_w258,1
A,259,A_w259,1
A,260,A_w260,1
A,261,A_w261,1
A,262,A_w262,1
A,263,A_w263,1
A,264,A_w264,1
A,265,A_w265,1
A,266,A_w266,1
A,267,A_w267,2
A,268,A_w268,2
A,269,A_w269,2
A,270,A_w270,2
A,271,A_w271,2
A,272,A_w272,2
A,273,A_w273,2
A,274,A_w274,2
A,275,A_w275,2
A,276,A_w276,2
A,277,A_w277,1
A,278,A_w278,2
A,279,A_w279,2
A,280,A_w280,2
A,281,A_w281,1
A,282,A_w282,1
A,283,A_w283,1
A,284,A_w284,2
A,285,A_w285,2
A,286,A_w286,2
A,287,A_w287,1
A,288,A_w288,2
A,289,A_w289,1
A,290,A_w290,1
A,291,A_w291,1
A,292,A_w292,2
A,293,A_w293,2
A,294,A_w294,2
A,295,A_w295,2
A,296,A_w296,2
A,297,A_w297,2
A,298,A_w298,2
A,299,A_w299,2
A,300,A_w300,0
A,301,A_w301,0
A,302,A_w302,2
A,303,A_w303,0
A,304,A_w304,2
A,305,A_w305,2
A,306,A_w306,1
A,307,A_w307,0
A,308,A_w308,0
A,309,A_w309,0
A,310,A_w310,0
A,311,A_w311,0
A,312,A_w312,2
A,313,A_w313,1
A,314,A_w314,1
A,315,A_w315,2
A,316,A_w316,2
A,317,A_w317,2
A,318,A_w318,2
A,319,A_w319,2
A,320,A_w320,1
A,321,A_w321,1
A,322,A_w322,2
A,323,A_w323,2
A,324,A_w324,2
A,325,A_w325,2
A,326,A_w326,1
A,327,A_w327,1
A,328,A_w328,1
A,329,A_w329,1
A,330,A_w330,1
A,331,A_w331,1
A,332,A_w332,1
A,333,A_w333,1
A,334,A_w334,1
A,335,A_w335,1
A,336,A_w336,1
A,337,A_w337,2
A,338,A_w338,2
A,339,A_w339,2
A,340,A_w340,2
A,341,A_w341,2
A,342,A_w342,1
A,343,A_w343,1
A,344,A_w344,1
A,345,A_w345,1
A,346,A_w346,2
A,347,A_w347,2
A,348,A_w348,1
A,349,A_w349,1
A,350,A_w350,2
A,351,A_w351,2
A,352,A_w352,2
A,353,A_w353,2
A,354,A_w354,1
A,355,A_w355,2
A,356,A_w356,2
A,357,A_w357,2
A,358,A_w358,1
A,359,A_w359,2
A,360,A_w360,2
A,361,A_w361,1
A,362,A_w362,1
A,363,A_w363,1
A,364,A_w364,2
A,365,A_w365,1
A,366,A_w366,2
A,367,A_w367,2
A,368,A_w368,2
A,369,A_w369,2
A,370,A_w370,1
A,371,A_w371,1
A,372,A_w372,1
A,373,A_w373,1
A,374,A_w374,2
A,375,A_w375,2
A,376,A_w376,2
A,377,A_w377,2
A,378,A_w378,1
A,379,A_w379,1
A,380,A_w380,1
A,381,A_w381,1
A,382,A_w382,0
A,383,A_w383,1
A,384,A_w384,1
A,385,A_w385,0
A,386,A_w386,2
A,387,A_w387,2
A,388,A_w388,0
A,389,A_w389,0
A,390,A_w390,1
A,391,A_w391,1
A,392,A_w392,0
A,393,A_w393,0
A,394,A_w394,1
A,395,A_w395,0
A,396,A_w396,1
A,397,A_w397,0
A,398,A_w398,0
A,399,A_w399,0
A,400,A_w400,0
A,401,A_w401,0
A,402,A_w402,0
A,403,A_w403,0
A,404,A_w404,1
A,405,A_w405,0
B,0,B_w0,0
B,1,B_w1,0
B,2,B_w2,0
